BLOCKCHAIN,CONTRACT_ADDRESS,DECIMALS,DEFUSE_ASSET_ID
"near","pol-0x3c499c542cef5e3811e1192ce70d8cc03d5c3359.omft.near","6","nep141:pol-0x3c499c542cef5e3811e1192ce70d8cc03d5c3359.omft.near"
"pol","0x3c499c542cef5e3811e1192ce70d8cc03d5c3359","6","nep141:pol-0x3c499c542cef5e3811e1192ce70d8cc03d5c3359.omft.near"
"near","pol.omft.near","18","nep141:pol.omft.near"
"pol","","18","nep141:pol.omft.near"
"near","purge-558.meme-cooking.near","18","nep141:purge-558.meme-cooking.near"
"sol","2cff5b540505a2aa6a4e600ccc6fdd6d3a585a5d","9","nep141:sol-2cff5b540505a2aa6a4e600ccc6fdd6d3a585a5d.omft.near"
"sol","57d087fd8c460f612f8701f5499ad8b2eec5ab68","6","nep141:sol-57d087fd8c460f612f8701f5499ad8b2eec5ab68.omft.near"
"sol","5ce3bf3a31af18be40ba30f721101b4341690186","6","nep141:sol-5ce3bf3a31af18be40ba30f721101b4341690186.omft.near"
"sol","b9c68f94ec8fd160137af8cdfe5e61cd68e2afba","6","nep141:sol-b9c68f94ec8fd160137af8cdfe5e61cd68e2afba.omft.near"
"sol","c58e6539c2f2e097c251f8edf11f9c03e581f8d4","6","nep141:sol-c58e6539c2f2e097c251f8edf11f9c03e581f8d4.omft.near"
"sol","c800a4bd850783ccb82c2b2c7e84175443606352","6","nep141:sol-c800a4bd850783ccb82c2b2c7e84175443606352.omft.near"
"sol","d600e625449a4d9380eaf5e3265e54c90d34e260","6","nep141:sol-d600e625449a4d9380eaf5e3265e54c90d34e260.omft.near"
"sol","df27d7abcc1c656d4ac3b1399bbfbba1994e6d8c","8","nep141:sol-df27d7abcc1c656d4ac3b1399bbfbba1994e6d8c.omft.near"
"sol","","9","nep141:sol.omft.near"
"near","token.0xshitzu.near","18","nep141:token.0xshitzu.near"
"near","token.burrow.near","18","nep141:token.burrow.near"
"near","token.sweat","18","nep141:token.sweat"
"near","token.v2.ref-finance.near","18","nep141:token.v2.ref-finance.near"
"near","usdt.tether-token.near","6","nep141:usdt.tether-token.near"
"near","wrap.near","24","nep141:wrap.near"
"xrp","","6","nep141:xrp.omft.near"
"near","zec.omft.near","8","nep141:zec.omft.near"
"zec","","8","nep141:zec.omft.near"
